,gn,gn1,human_mouse,lca,name
1997049,,,False,5809,gi|401395084|ref|XP_003879550.1| hypothetical protein NCLIV_000130 [Neospora caninum Liverpool]
2006932,,,False,2771,gi|11465577|ref|NP_045031.1| RNA polymerase beta subunit [Cyanidium caldarium]
2008440,"tufA,tuf",,False,131567,gi|571027788|ref|YP_008899906.1| translation elongation factor Tu TufA [Thermosynechococcus sp. NK55a]
2010475,,,False,44056,gi|242620026|ref|YP_003002030.1| DNA-directed RNA polymerase beta' chain [Aureococcus anophagefferens]
2010944,,,False,2898,gi|283794883|ref|YP_003359236.1| RNA polymerase beta subunit [Cryptomonas paramecium]
2011772,,,False,280699,gi|30468230|ref|NP_849117.1| RNA polymerase beta' chain [Cyanidioschyzon merolae strain 10D]
2018232,,,False,2832,gi|456062043|ref|YP_007476288.1| RNA polymerase subunit beta (chloroplast) [Pavlova lutheri]
2022201,,,False,5820,gi|457875574|ref|XP_004224353.1| glutamate dehydrogenase [Plasmodium cynomolgi strain B]
2057470,,,False,2759,gi|471219255|ref|XP_004024157.1| hypothetical protein IMG5_199530 [Ichthyophthirius multifiliis]
2058497,,,False,5932,gi|471222345|ref|XP_004029973.1| hypothetical protein IMG5_169340 [Ichthyophthirius multifiliis]
2064818,"ACTA2,Actb",,False,2759,gi|470372359|ref|XP_004332908.1| actin subfamily protein [Acanthamoeba castellanii str. Neff]
2078088,,,False,1257118,gi|470521543|ref|XP_004353733.1| Inosine5'-monophosphate dehydrogenase [Acanthamoeba castellanii str. Neff]
2079775,,,False,2769,gi|471435018|ref|YP_007627427.1| RNA polymerase beta'' subunit [Chondrus crispus]
2105368,,,False,905079,gi|551632808|ref|XP_005819269.1| hypothetical protein GUITHDRAFT_160331 [Guillardia theta CCMP2712]
2114380,,,False,632,gi|488289440|ref|WP_002360648.1| aconitate hydratase [Yersinia pestis]
2120552,,,False,905079,gi|551667083|ref|XP_005836302.1| mitochondrial translation elongation factor Tu [Guillardia theta CCMP2712]
2154348,,,False,35688,gi|568247768|ref|YP_008965811.1| translation elongation factor Ts (chloroplast) [Porphyridium purpureum]
2159483,,,False,352914,gi|82915173|ref|XP_728992.1| glutamate dehydrogenase [Plasmodium yoelii yoelii 17XNL]
2160032,,,False,36329,gi|124808527|ref|XP_001348337.1| NADP-specific glutamate dehydrogenase [Plasmodium falciparum 3D7]
2163256,,,False,5758,"gi|167383511|ref|XP_001736561.1| pyruvate, phosphate dikinase [Entamoeba dispar SAW760]"
2287574,,,False,,V1.UC59-0_GL0047198  [gene]  locus=scaffold34525_1:2:625:- [Lack both ends] codon-table.11
2320559,,,False,412133,gi|123438757|ref|XP_001310157.1| glutamate dehydrogenase [Trichomonas vaginalis G3]
2342451,,,False,484906,gi|156087106|ref|XP_001610960.1| glutamate dehydrogenase [Babesia bovis T2Bo]
2357132,,,False,,V1.CD22-0_GL0157698  [gene]  locus=C1644595_1:1:594:- [Lack both ends] codon-table.11
2399443,,,False,184922,gi|159114064|ref|XP_001707257.1| NADP-specific glutamate dehydrogenase [Giardia lamblia ATCC 50803]
2410456,,,False,296543,gi|224002132|ref|XP_002290738.1| pyruvate phosphate dikinase [Thalassiosira pseudonana CCMP1335]
2412693,,,False,296543,"gi|224015078|ref|XP_002297200.1| glutmatae dehydrogenase, nadp-gdh, partial [Thalassiosira pseudonana CCMP1335]"
2429252,,,False,5782,gi|330795361|ref|XP_003285742.1| hypothetical protein DICPUDRAFT_91566 [Dictyostelium purpureum]
2433827,ACTA1,ACTA1,True,9606,"tr|A6NL76|A6NL76_HUMAN Actin, alpha skeletal muscle OS=Homo sapiens GN=ACTA1 PE=2 SV=2"
2433984,"Actb,ACTG1,Actg2",,False,2759,"gi|471215016|ref|XP_004261684.1| actin, putative, partial [Entamoeba invadens IP1]"
2466433,ACTB,ACTB,False,2759,"gi|238616771|ref|XP_002399101.1| hypothetical protein MPER_00125, partial [Moniliophthora perniciosa FA553]"
2478382,,,False,28901,"gi|446363992|ref|WP_000441847.1| hypothetical protein, partial [Salmonella enterica]"
2550329,TV1006,TV1006,False,50339,gi|13541807|ref|NP_111495.1| pyruvate phosphate dikinase [Thermoplasma volcanium GSS1]
2559454,guaB,guaB,False,67760,gi|502865602|ref|WP_013100578.1| inosine 5'-monophosphate dehydrogenase [Methanocaldococcus infernus]
2637551,,,False,1088740,gi|494813971|ref|WP_007549379.1| S-adenosylmethionine synthetase [Candidatus Nitrosoarchaeum koreensis]
2704230,"AciM339_1347,Aboo_1219",,False,379546,gi|505096729|ref|WP_015283831.1| glutamate dehydrogenase/leucine dehydrogenase [Aciduliprofundum sp. MAR08-339]
2717161,Metev_0326,Metev_0326,False,2322,gi|502958844|ref|WP_013193820.1| pyruvate phosphate dikinase [Methanohalobium evestigatum]
2749207,FFONT_0343,FFONT_0343,False,683846,gi|504370380|ref|WP_014557482.1| pyruvate phosphate dikinase [Fervidicoccus fontis]
2750931,Mthe_1163,Mthe_1163,False,2224,tr|A0B8C1|A0B8C1_METTP Sulfide dehydrogenase (Flavoprotein) subunit SudA OS=Methanosaeta thermophila (strain DSM 6194 / PT) GN=Mthe_1163 PE=4 SV=1
2752055,,,False,,SRS013215.4190-T1-C
2775482,"Mbur_0966,Mzhil_1159,Metho_1630,Mmah_0650,Mpsy_0888",,False,2206,tr|K4MC99|K4MC99_9EURY Pyruvate phosphate dikinase OS=Methanolobus psychrophilus R15 GN=Mpsy_0888 PE=4 SV=1
2786018,dnaK,dnaK,False,2191,gi|124485764|ref|YP_001030380.1| hypothetical protein Mlab_0943 [Methanocorpusculum labreanum Z]
3448425,AMDU3_IPLC00001G0441,AMDU3_IPLC00001G0441,False,667138,tr|T0MXX7|T0MXX7_9EURY Uncharacterized protein OS=Thermoplasmatales archaeon I-plasma GN=AMDU3_IPLC00001G0441 PE=4 SV=1
3545035,"GLX_11500,Acry_2184,APA32_19100,APA03_19100,Gdia_2026,podA,GbCGDNIH1_2098,H845_2319,APA01_19100,APA22_19100,GbCGDNIH3_2098,GbCGDNIH4_2098,APA07_19100,ppdK,APA42C_19100,GXY_08205,GbCGDNIH2_2098,APA12_19100,APA26_19100",,False,1224,gi|162147113|ref|YP_001601574.1| pyruvate phosphate dikinase [Gluconacetobacter diazotrophicus PAl 5]
3557492,tuf,tuf,False,31953,gi|502666060|ref|WP_012902002.1| elongation factor Tu [Bifidobacterium dentium]
3585948,rpoA,rpoA,False,129337,gi|530600554|ref|YP_008416109.1| DNA-directed RNA polymerase subunit alpha [Geobacillus sp. JF8]
3609855,tuf,tuf,False,137,gi|302337475|ref|YP_003802681.1| translation elongation factor Tu [Spirochaeta smaragdinae DSM 11293]
3650534,c4532,c4532,False,562,gi|26250352|ref|NP_756392.1| hypothetical protein c4532 [Escherichia coli CFT073]
3675519,rpsE,rpsE,False,1236,gi|551324509|ref|WP_022943952.1| 30S ribosomal protein S5 [Pseudoalteromonas ruthenica]
3691661,"BN562_01900,CL2_07270",,False,2,gi|495667961|ref|WP_008392540.1| MULTISPECIES: phosphoenolpyruvate-protein phosphotransferase [Clostridiales]
3695442,"Synpcc7942_0641,sdhA",,False,32046,gi|81299452|ref|YP_399660.1| succinate dehydrogenase flavoprotein subunit [Synechococcus elongatus PCC 7942]
3704668,rpoC,rpoC,False,138,gi|15594733|ref|NP_212522.1| DNA-directed RNA polymerase subunit beta' [Borrelia burgdorferi B31]
3710169,PB2503_02582,PB2503_02582,False,208216,gi|304320091|ref|YP_003853734.1| pyruvate phosphate dikinase [Parvularcula bermudensis HTCC2503]
3713116,groL,groL,False,1301283,gi|493562882|ref|WP_006516273.1| chaperonin GroL [Leptolyngbya sp. PCC 7375]
3723795,ppdK,ppdK,False,330214,"tr|D8PDR0|D8PDR0_9BACT Pyruvate, phosphate dikinase OS=Candidatus Nitrospira defluvii GN=ppdK PE=4 SV=1"
3727004,"nifJ,FMG_0385",,False,1260,B0S0N9|FMG_0385 pyruvate/ferredoxin oxidoreductase [Finegoldia magna ATCC 29328]
3727159,,,False,,SRS017103.106357-T1-C
3727326,,,False,1321783,gi|545437486|ref|WP_021675257.1| translation elongation factor Ts [Peptostreptococcaceae bacterium oral taxon 113]
3727736,rpoC,rpoC,False,1260,gi|501247821|ref|WP_012290839.1| DNA-directed RNA polymerase subunit beta' [Finegoldia magna]
3740901,"sucA,T2140",,False,1236,"gi|565850321|ref|WP_023933003.1| oxoglutarate dehydrogenase (succinyl-transferring), E1 component [Photobacterium leiognathi]"
3762103,MHY_12980,MHY_12980,False,158847,"gi|505375344|ref|WP_015562446.1| Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, alpha subunit [Megamonas hypermegale]"
3768840,"EUBREC_2454,BN626_01398,EUR_26750,ERE_07200",,False,1730,D6E1B5|EUR_26750 Alpha-L-arabinofuranosidase [Eubacterium rectale DSM 17629]
3774409,CK1_33230,CK1_33230,False,657323,gi|479155007|ref|YP_007784782.1| Ribosomal protein L17 [Ruminococcus sp. SR1/5]
3774537,CK1_34940,CK1_34940,False,657323,gi|479155137|ref|YP_007784912.1| Protein of unknown function (DUF2961) [Ruminococcus sp. SR1/5]
3775835,"CIY_10440,CIY_10450",,False,831,tr|D4J1B1|D4J1B1_BUTFI Flagellin and related hook-associated proteins OS=Butyrivibrio fibrisolvens 16/4 GN=CIY_10450 PE=4 SV=1
3776464,,,False,,SRS011271.225830-T1-C
3776479,"EUR_12140,BN626_01282,ERE_26880,EUBREC_1638",,False,1730,gi|238924000|ref|YP_002937516.1| 4-hydroxy-3-methylbut-2-enyl diphosphate reductase/S1 RNA-binding domain protein [Eubacterium rectale ATCC 33656]
3776630,purA,purA,False,1239,gi|547465738|ref|WP_022084776.1| adenylosuccinate synthetase 1 [Roseburia sp. CAG:197]
3776934,,,False,,SRS011586.183116-T1-C
3789452,rpoC,rpoC,False,171,gi|183221353|ref|YP_001839349.1| DNA-directed RNA polymerase subunit beta' [Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)']
3789453,rpoB,rpoB,False,171,gi|183221354|ref|YP_001839350.1| DNA-directed RNA polymerase subunit beta [Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)']
3813201,rpoB,rpoB,False,1236,gi|519003324|ref|WP_020159199.1| DNA-directed RNA polymerase subunit beta [Methylobacter marinus]
3822535,,,False,562,D8C8N3|HMPREF9549_00644 gram-negative porin [Escherichia coli MS 185-1]
3902762,ppdK,ppdK,False,258255,"tr|G8PR79|G8PR79_PSEUV Pyruvate, phosphate dikinase OS=Pseudovibrio sp. (strain FO-BEG1) GN=ppdK PE=4 SV=1"
3966757,"K710_1163,gbs1405,SmuNN2025_1111,SMUGS5_04035,MSA_14560,HSISS4_1272,gdhA,HSISS2_263,STND_0425,STER_0467,GALLO_1293,SDE12394_04420,BN551_01092,SMU_913,HSISS3_1457,Y1U_C0412,BN784_00834,SAIL_13820,gdh,HSISS1_551,SZO_08780,BSA_14140,KE3_1179,HSISB1_669,SDD27957_04160",,False,1301,gi|408401479|ref|YP_006859442.1| NADP-specific glutamate dehydrogenase [Streptococcus dysgalactiae subsp. equisimilis RE378]
3966777,"HSISS3_480,clpL,HSISS2_1953,BN551_00043,STND_1550,SALIVB_1722,SGO_1856,STER_1578,N597_00760,HSISS1_1398,HSISS4_1765,I872_01355,Sinf_1081,Y1U_C1510",,False,1301,gi|489000975|ref|WP_002911636.1| MULTISPECIES: ATP-dependent Clp protease ATP-binding protein [Streptococcus]
3967585,"K710_1771,SDEG_1840,SDE12394_09095,SDD27957_09595,BN738_00534,ptsI,ppdK,SDSE167_1894",,False,1239,gi|408402308|ref|YP_006860272.1| pyruvate phosphate dikinase [Streptococcus dysgalactiae subsp. equisimilis RE378]
3972270,"tuf1,tufB,tuf,tufA,tuf2",,False,2,gi|408680092|ref|YP_006879919.1| Translation elongation factor Tu [Streptomyces venezuelae ATCC 10712]
3991754,"FP2_14420,FPR_13480",,False,853,"gi|479171850|ref|YP_007800037.1| glucose-1-phosphate adenylyltransferase, GlgD subunit [Faecalibacterium prausnitzii SL3/3]"
4002072,,,False,,V1.CD12-3_GL0035602  [gene]  locus=scaffold3659_1:28753:29202:- [Complete] codon-table.11
4009240,fusA,fusA,False,1239,gi|479169617|ref|YP_007797942.1| translation elongation factor 2 (EF-2/EF-G) [[Eubacterium] cylindroides T2-87]
4012669,CC1_03500,CC1_03500,False,116085,"gi|479137263|ref|YP_007768695.1| Molecular chaperone, HSP90 family [Coprococcus catus GD/7]"
4013051,FPR_24210,FPR_24210,False,1239,gi|556498858|ref|WP_023346542.1| hypothetical protein [Firmicutes bacterium ASF500]
4013776,CC1_16390,CC1_16390,False,116085,gi|505326867|ref|WP_015513969.1| Acyl-CoA dehydrogenases [Coprococcus catus]
4039008,fusA,fusA,False,1263979,tr|K7YFU6|K7YFU6_9PROT Elongation factor G OS=Candidatus Endolissoclinum faulkneri L2 GN=fusA PE=3 SV=1
4065097,ppdk,ppdk,False,31957,gi|297625536|ref|YP_003687299.1| pyruvate phosphate dikinase [Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1]
4077657,"BM590_A0518,BAA13334_I03129,BCA52141_I0887,BAbS19_I04890,BMNI_I0511,ppdK,RM11_0361,Oant_0686",,False,356,gi|493511947|ref|WP_006466268.1| pyruvate phosphate dikinase [Ochrobactrum intermedium]
4079228,"N838_27075,rpoB",,False,1236,gi|498327264|ref|WP_010641420.1| DNA-directed RNA polymerase subunit beta [Acidithiobacillus thiooxidans]
4081737,rpoC,rpoC,False,458033,gi|503864753|ref|WP_014098747.1| DNA-directed RNA polymerase subunit beta' [Candidatus Chloracidobacterium thermophilum]
4095716,,,False,,SRS020869.122554-T1-C
4096188,,,False,1505,gi|544696324|ref|WP_021127468.1| chaperonin GroL [[Clostridium] sordellii]
4096855,ELI_1714,ELI_1714,False,1239,gi|310827306|ref|YP_003959663.1| bifunctional purine biosynthesis protein ADE16 [Eubacterium limosum KIST612]
4098765,,,False,,SRS016267.25052-T1-C
4098784,,,False,,SRS062427.66115-T1-C
4100571,"fusA1,fusA",,False,2037,gi|237786407|ref|YP_002907112.1| elongation factor EF-G [Corynebacterium kroppenstedtii DSM 44385]
4116244,rpsS,rpsS,False,2,gi|525673510|ref|YP_008224802.1| 30S ribosomal protein S19 [Mycobacterium tuberculosis EAI5]
4172233,rpoC,rpoC,False,671143,"gi|392373617|ref|YP_003205450.1| RNA polymerase, beta prime subunit [Candidatus Methylomirabilis oxyfera]"
4172235,,,False,,SRS051031.6689-T1-C
4182998,"gdhA,NT05LI_0675,AX25_02780,NT03LS_0668,NT04LS_0641,LIV_0488",,False,1637,gi|347547968|ref|YP_004854296.1| putative NADP-specific glutamate dehydrogenase [Listeria ivanovii subsp. ivanovii PAM 55]
4205147,,,False,,V1.FI02_GL0032670  [gene]  locus=scaffold40476_3:18974:20614:- [Complete] codon-table.11
4220508,"LCBD_0697,gdhA,LOCK908_0597,LCAZH_0556,AF91_02185,LOCK900_0555,gdh,LBPG_02695,LRHK_604,LC2W_0700,LOCK919_0727,LRH_02432,LBCZ_0416,LBPC_0549",,False,1578,gi|513803569|ref|WP_016511264.1| glutamate dehydrogenase [Lactobacillus plantarum]
4224618,"gdhA,Gura_2800,Nwat_2244,AnaeK_3118,Geob_2399,Selin_0863,Glov_0573,GM21_0175,Adeh_3019,A2cp1_3219,Anae109_3000,THIAE_01455,Noc_0864,Thicy_0254",,False,2,gi|404496045|ref|YP_006720151.1| glutamate dehydrogenase [Geobacter metallireducens GS-15]
4228803,"ppdK,C770_GR4Chr0932,Smed_0548,Rleg2_0662,RLEG3_13705,Rleg_0717,Mesci_4990,RLEG12_14645,Sinme_0641,SinmeB_0546",,False,356,"gi|398350546|ref|YP_006396010.1| pyruvate, phosphate dikinase [Sinorhizobium fredii USDA 257]"
4237753,,,False,824,gi|492516764|ref|WP_005872359.1| inosine 5'-monophosphate dehydrogenase [Campylobacter gracilis]
4239415,,,False,,SRS045645.109506-T1-C
4239579,rpoA,rpoA,False,31979,gi|516507101|ref|WP_017895539.1| DNA-directed RNA polymerase subunit alpha [Clostridium tyrobutyricum]
4246480,"WSQ_00885,YYU_00895,U128_00715,U370_00730,ppdK",,False,768,gi|269959084|ref|YP_003328873.1| pyruvate phosphate dikinase [Anaplasma centrale str. Israel]
4258282,"rpoB2,rpoB3,NT07LI_0564,rpoB",,False,131567,gi|518223869|ref|WP_019394077.1| DNA-directed RNA polymerase subunit beta [Bacillus endophyticus]
4343484,rpsB,rpsB,False,186801,gi|472466724|ref|YP_007679403.1| ribosomal protein S2 [Clostridium stercorarium subsp. stercorarium DSM 8532]
4344665,"fusA1,fusA",,False,1239,gi|284049260|ref|YP_003399599.1| translation elongation factor G [Acidaminococcus fermentans DSM 20731]
4424095,,,False,1131272,gi|518744258|ref|WP_019902547.1| elongation factor Tu [Chloroflexi bacterium SCGC AB-629-P13]
4494265,tuf,tuf,False,2,gi|565626980|ref|YP_008894161.1| elongation factor Tu [Mycoplasma gallisepticum S6]
4501661,,,False,767817,"gi|488774207|ref|YP_007943623.1| ribosomal protein S19, bacterial/organelle [Desulfotomaculum gibsoniae DSM 7213]"
4510354,J113_04845,J113_04845,False,1773,gi|494695086|ref|YP_007960589.1| elongation factor G [Mycobacterium tuberculosis CAS/NITR204]
4542056,"A79E_4272,ES15_3294,Kpn2146_0778,CFSAN001921_17200,SEHO0A_00038,rpsT,I137_00210,ECL_00831,SEENIN0B_00044,ECNA114_0008,SN31241_10210,STBHUCCB_530,SE451236_06230,H650_19010,SPAB_00053,P262_04875,A464_42,ESA_03314,IA1_00225,CKO_03368,SEEB0189_19165,CFSAN002050_06675,ENC_45410,SD3246_0045,KPHS_07290,A225_0810",,False,543,gi|519078801|ref|WP_020234676.1| 30S ribosomal protein S20 [Escherichia coli]
4543087,,,False,615,gi|515496777|ref|WP_016930031.1| phosphoglycerate kinase [Serratia marcescens]
4557438,,,False,58050,gi|518272287|ref|WP_019442495.1| F0F1 ATP synthase subunit alpha [Moritella marina]
4603422,"ECHWP_0342,ECHOSC_0354,ECHWAK_0198,EHF_0354,ECHLIB_0197,tuf1,ECHHL_0346,ECHJAX_0200,ECHSTV_0196,tuf",,False,942,gi|222475373|ref|YP_002563790.1| elongation factor Tu [Anaplasma marginale str. Florida]
4610597,,,False,,SRS054956.4773-T1-C
4663007,groEL-C,groEL-C,False,83552,gi|493384639|ref|WP_006340882.1| molecular chaperone GroEL [Parachlamydia acanthamoebae]
4672299,,,False,876,gi|518843548|ref|WP_019999438.1| inosine 5'-monophosphate dehydrogenase [Desulfovibrio desulfuricans]
4681425,,,False,316,gi|392420184|ref|YP_006456788.1| inosine 5'-monophosphate dehydrogenase [Pseudomonas stutzeri CCUG 29243]
4693399,"groL3,groL",,False,32008,gi|115361133|ref|YP_778270.1| molecular chaperone GroEL [Burkholderia ambifaria AMMD]
4706576,,,False,,SRS047014.43542-T1-C
4737878,"AV34_03920,SerAS9_1239,AV78_03940,AV26_03930,AU72_03925,AV29_03925,AV56_03925,YE105_C1296,SPAB_02798,AU96_03940,KPHS_15690,C813_08130,AU91_03925,AU62_03930,AV14_03915,AV61_03930,CFSAN001080_01720,AV53_03925,AU82_03935,AV92_03925,AV93_03930,M942_18640,W5S_3091,AV65_03520,AU18_03925,AU23_03920,ENC_20130,IA1_03745,AU65_03925,KPNJ2_03834,AV28_03910,KPNJ1_03848,AV59_03925,AV39_03945,AU69_03945,Rahaq_3149,AU17_03520,AV85_03920,AV69_03925,EcolC_2930,P423_03570,AU55_04020,AU20_03900,CFSAN001921_13355,Kvar_3639,AV43_03925,AU92_03930,AV45_03920,AV71_13850,APECO78_07155,ECP_0737,AV20_03930,M621_06375,AV66_03940,A225_1743,AU94_03945,AV25_03935,AV63_03970,AV70_00650,AU35_03910,AU61_03910,AV88_03925,SerAS12_1239,AU28_03935,AV73_06650,AU58_20345,AU31_03920,SARI_02212,AU30_03915,D364_03835,AU39_03535,AV82_03920,AU29_03910,YPA_0591,AU48_03930,AV46_03915,CFSAN002064_20215,AV42_03915,AV58_03920,AU79_03510,AU97_03915,STMMW_07931,AU89_03915,AU86_13815,kgd,AU36_03920,AV80_03935,AU19_03945,AU88_03925,AV35_03930,AV86_03925,AU24_03935,AV24_03920,ESA_02622,AU87_03915,AV76_03955,sucA,STBHUCCB_22670,AU40_03930,AV27_03515,AU93_03925,CFSAN002069_05165,AV62_03515,AV10_03935,AU85_03935,AV94_04020,AV09_03930,AU68_03940,AU33_03920,AV38_03915,AV00_03935,Q786_03560,AU50_03960,Dd586_1187,AU64_03930,AV50_03925,SE451236_09700,SEEA0014_13125,PC1_1236,SSPA1869,AV07_04100,BN745_02282,AU63_03945,AU74_03945,DI57_12320,AU26_03935,AV74_07835,AV54_03925,AU57_15740,AU73_03925,AV30_03920,AU44_03925,AU78_03935,AU71_03910,AU99_03920,Ent638_1226,AV02_03910,AU51_03930,AU53_22585,AV18_03925,AV01_03930,AV60_03905,AV40_03550,AV75_14245,AV11_03925,AV04_03945,AV36_03920,AV96_03535,sucA_1,AU90_03935,Dd703_1144,H650_22335,SN31241_17350,ETEC_0736,AU21_03925,AV51_03935,AU83_16340,AV13_03920,AU47_03910,AV91_03925,AU80_03930,AU37_03530,AV97_03950,CS37_03530,N559_3592,P262_03941,AV05_03925,AV21_03945,AV83_03925,AU46_03925,AV52_03940,Y11_18601,AU22_03930,AV33_03925,AV95_03930,CFSAN002050_10230,AU32_03930,BN643_01822,AV49_03935,SEEA1592_07660,YPK_2968,D781_1189,AV72_04520,Dd1591_2914,AU38_03535,AV16_03925,AV89_03925,sucA1,AV19_03950,Z042_19935,Rahaq2_3180,AU52_03930,AU25_03925,A79E_3503,YPTS_1224,A464_704,MU9_1386,AV90_03930,AV23_04090,AV81_03965,SerAS13_1239,ECSF_0658,AU75_03920,AU56_17235,AU98_03925,AV77_03935,ECSE_0785,AU81_03940,CFSAN000658_12290,AU45_03930,LY180_03830,AU54_03545,SEET0819_10590,AU34_03930,BF17_14585,AV32_03930,Pat9b_1115,SEENIN0B_00777,Pecwa_3100,AV44_03925,AV55_03920,SU5_01415,AV84_03925,AV67_03940,AV57_03940,AU84_03920,AV79_04045,BN855_7110,AV41_03930,SEHO0A_00681,AV87_03940,Entcl_3101,YPDSF_2584,Entas_1204,CKO_02434,AU76_03925,AU41_03925,NT01EI_2868,AV17_03920",,False,131567,gi|518283828|ref|WP_019454036.1| 2-oxoglutarate dehydrogenase E1 [Serratia marcescens]
4758947,tsf,tsf,False,296591,gi|91788556|ref|YP_549508.1| elongation factor Ts [Polaromonas sp. JS666]
4774708,,,False,,SRS077730.82957-T1-C
4776583,"adh2,CAETHG_1841",,False,1485,tr|U5RTK2|U5RTK2_9CLOT Alcohol dehydrogenase OS=Clostridium autoethanogenum DSM 10061 GN=CAETHG_1841 PE=4 SV=1
4778236,,,False,,SRS019787.96202-T1-C
4791570,rpoB,rpoB,False,1239,gi|332798198|ref|YP_004459697.1| DNA-directed RNA polymerase subunit beta [Tepidanaerobacter acetatoxydans Re1]
4791612,rpsI,rpsI,False,499229,gi|332798241|ref|YP_004459740.1| 30S ribosomal protein S9 [Tepidanaerobacter acetatoxydans Re1]
4816499,SPICUR_08290,SPICUR_08290,False,2,gi|556587299|ref|YP_008754916.1| hypothetical protein SPICUR_08290 [Spiribacter sp. UAH-SP71]
4841345,W911_06695,W911_06695,False,81,tr|V5SDL0|V5SDL0_9RHIZ Pyruvate phosphate dikinase OS=Hyphomicrobium nitrativorans NL23 GN=W911_06695 PE=4 SV=1
4845317,rpoC,rpoC,False,95818,gi|563712195|ref|YP_008872973.1| DNA-directed RNA polymerase subunit beta' [Candidatus Saccharibacteria bacterium RAAC3_TM7_1]
4854118,,,False,1394709,gi|563700126|ref|YP_008870238.1| hypothetical protein P148_SR1C00001G0082 [candidate division SR1 bacterium RAAC1_SR1_1]
4854266,,,False,1394709,gi|563700274|ref|YP_008870386.1| hypothetical protein P148_SR1C00001G0238 [candidate division SR1 bacterium RAAC1_SR1_1]
4902052,fusA,fusA,False,1276246,tr|W6A8Q2|W6A8Q2_9MOLU Elongation factor G OS=Spiroplasma culicicola AES-1 GN=fusA PE=3 SV=1
